#-------------------------------------------
# Food Diary Report - Detailed Report,"lunedì, agosto 1, 2022","mercoledì, agosto 31, 2022"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
Totale,2258,"78,34","243,98","146,67"
Colazione,438,"11,04","47,86","36,12"
Pranzo,947,"35,64","109,39","47,74"
Cena,620,"22,66","61,49","43,4"
Snacks/Altro,253,"9,01","25,24","19,4"

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cal ( kcal),Gras( g),Sat( g),Carb( g),Fibre( g),Zucch( g),Prot( g),Sod( mg),Coles( mg),Potassio( mg)

"lunedì, agosto 1, 2022",2198,"88,97","37,827","217,98","23,29","118,77","136,08","3856,01",162,2905
 Colazione,446,"15,3","5,3","39,15","4,01","15,46","36,51","287,06",,
  Certossa Pan Bauletto 8 Cereali e Soia,129,"2,4","0,33","20,68","2,26","1,88","5,17","0,56",,
   47 g
  Hero Marmellata Light Frutti di Bosco,6,"0,03",0,"1,82","0,14","0,45","0,05",0,,
   16 g
  Fiorentini Peanut Butter Crunchy,91,"7,81","1,33","1,29","0,98","0,77","3,47",0,,
   14 g
  Conad Latte Parzialmente Scremato,102,"3,41","2,56","10,86",0,"10,86","6,82","106,5",,
   213 ml
  Decathlon Whey Protein,118,"1,65","1,08","4,5","0,63","1,5",21,180,,
   30 g
 Pranzo,681,"23,75","12,918","71,65","6,25","31,45","45,72","1212,15",77,1535
  Lidl Cioccolato Fondente 85%,75,"6,08","3,67","2,78",,"1,68","1,4",0,,
   13 g
  Meloni Gialli,97,"0,38","0,103","24,54","2,2","21,92","1,46",49,0,616
   270 g
  Coop Scamorza Affumicata,148,"11,22","7,65","0,51",0,0,"11,22",510,,
   51 g
  McEnnedy Salsa Barbecue,33,"0,04","0,02","7,49","0,25","5,83","0,29","0,15",,
   18 g
  Patate al Forno,159,"0,22","0,061","36,33","3,8","2,02","4,29",479,0,919
   173 g
  Sarde,169,"5,81","1,414",0,0,0,"27,06",174,77,
   130 g
 Cena,733,"43,24","15,703","38,39","8,63","28,59","50,69","2268,8",57,1101
  Meloni Gialli,59,"0,23","0,062","14,82","1,3","13,24","0,88",29,0,372
   163 g
  Vallericca Rucola,22,"0,34","0,17","1,23","2,13","0,56","2,41","44,8",,
   56 g
  Mozzarella di Bufala,134,"10,31","6,409","1,03",0,"0,43","9,31",201,37,
   49 g
  Sasso Olio d'oliva,165,"18,38","2,8",0,,,0,,,
"   2 x 1 cucchiaio, 20 g"
  Fichi,33,"0,14","0,027","8,63","1,3","7,32","0,34",0,0,104
   45 g
  Parmigiano (in Pezzi),114,"7,49","4,759","0,93",0,"0,23","10,37",465,20,27
   29 g
  Olive Nere,28,"2,58","0,341","1,64","0,8",0,"0,24",238,0,2
   27 g
  Dal Salumiere Bresaola,130,"3,2","1,04","0,4",0,"0,4","24,8",1280,,
   80 g
  Cetriolo (senza Buccia),18,"0,24","0,02","3,28","1,1","2,1","0,9",3,0,207
   152 g
  Pomodori,30,"0,33","0,075","6,43",2,"4,31","1,44",8,0,389
   164 g
 Snacks/Altro,338,"6,68","3,906","68,79","4,4","43,27","3,16",88,28,269
  Crostata alla Marmellata,252,"6,33","3,836","46,54",1,"24,41","2,29",87,28,
   72 g
  Fichi,86,"0,35","0,07","22,25","3,4","18,86","0,87",1,0,269
   116 g

"martedì, agosto 2, 2022",2381,"93,75","38,308","222,24","36,57","46,85","171,36","3208,49",440,2074
 Colazione,439,"10,41","3,826","39,62","3,49","20,74","48,19","650,88",0,371
  Lidl Albume d'uovo Pastorizzato,62,0,0,"1,3",0,0,"14,21","243,6",,232
   145 g
  Fichi,44,"0,18","0,036","11,51","1,7","9,76","0,45",1,0,139
   60 g
  Foodspring Protein Cream Nocciola,67,"4,81","0,92","4,29",,"0,96","2,73","10,4",,
   13 g
  Certossa Pan Bauletto 8 Cereali e Soia,63,"1,17","0,16","10,12","1,1","0,92","2,53","0,28",,
   23 g
  Decathlon Whey Protein,130,"1,82","1,19","4,95","0,69","1,65","23,1",198,,
   33 g
  Latteria Latte Fresco Parzialmente Scremato,73,"2,43","1,52","7,45",,"7,45","5,17","197,6",,
   152 g
 Pranzo,914,"40,69","10,545","95,22","9,7","9,29","39,72","637,24",440,572
  Antichi Maestri Grana Padano Dop,12,"0,87","0,54",0,0,0,"0,99","0,04",,
   3 g
  Pesto,224,"21,02","5,447","2,13","0,7","0,34","7,6",294,17,85
   42 g
  Uovo,147,"9,94","3,099","0,77",0,"0,77","12,58",140,423,134
   2 grandi
  Sasso Olio d'oliva,41,"4,6","0,7",0,,,0,,,
"   1/2 x 1 cucchiaio, 5 g"
  Olive Nere,23,"2,1","0,278","1,33","0,7",0,"0,19",194,0,2
   22 g
  Cetriolo (senza Buccia),16,"0,21","0,017","2,83","0,9","1,81","0,77",3,0,178
   131 g
  Pomodori,13,"0,15","0,034","2,86","0,9","1,92","0,64",4,0,173
   73 g
  La Molisana Farfalle Rigate,246,"0,7","0,21",49,"2,1","2,8","9,8",0,,
   70 g
  Garofalo Mafalda Corta Integrale,192,"1,1","0,22","36,3","4,4","1,65","7,15","2,2",0,0
   55 g
 Cena,446,"9,77","1,567","73,8","23,38","14,5","21,24","634,52",0,1131
