#-------------------------------------------
# Food Diary Report - Detailed Report,"Saturday, April 1, 2023","Sunday, April 30, 2023"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,2351,81.64,263.91,138.1
Breakfast,906,33.13,99.78,49.61
Lunch,427,18.45,39.97,24.64
Dinner,798,22.75,103.48,45.21
Snacks/Other,220,7.32,20.68,18.64

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Saturday, April 1, 2023",2244,67.77,29.769,257.16,38.55,99.41,154.12,3339.43,0,1584.19
 Breakfast,968,38.87,14.527,106.12,12.57,38.11,46.05,203.45,0,516.19
  J. D. Gross Cioccolato Fondente Caramello,114,7.66,4.62,8.76,,7.39,1.49,16.8,,
   21 g
  Kiwi,41,0.35,0.019,9.82,2,6.02,0.76,2,0,209
   67 g
  Fiocchi d'avena Integrali,186,3.5,0.65,29.35,5,0.35,6.75,4,,
   50 g
  Nocciole 100% Italiane,101,9.3,0.68,1.23,1.41,0.74,2.25,0,,
   15 g
  Mandorle al Naturale,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Whey Protein,118,1.65,1.08,4.5,0.63,1.5,21,180,,
   30 g
  Yogurt alla Greca 10%,125,10.3,6.8,3.3,,3.3,4.74,0.1,,
   103 g
  Serious Mass,151,0.68,0.24,30,0.32,2.56,6,0.15,,144.19
   40 g
  Dattero,70,0.1,0.008,18.68,2,15.77,0.61,0,0,163
   3 dates
 Lunch,,,,,,,,,,
 Dinner,1276,28.9,15.242,151.04,25.98,61.3,108.07,3135.98,0,1068
  Equilibra Protein 35%,176,5.6,4.1,17,,8.1,16,0.2,,
"   1 barretta, 45 g"
  Kania Tomato Ketchup,42,0.04,0,9.68,,8.58,0.57,281.6,,
   44 ml
  Philadelphia Philadelphia Light in Panetto,47,3.75,2.5,0.92,0.08,0.92,2.1,180,,
   25 g
  Certossa Pagnotta di Grano Duro,264,4.1,0.7,45,3.4,4.4,10,560,,
   100 g
  Zucchine Cotte,17,1.03,0.196,1.9,0.6,1.13,0.4,121,0,84
   45 g
  Pere,123,0.25,0.013,32.78,6.6,20.78,0.81,2,0,252
   212 g
  Conad Toma Piemontese,141,11.13,6.84,0.38,0,0.38,10.18,1976,,
   38 g
  Piselli,243,1.2,0.213,43.38,15.3,17.01,16.26,15,0,732
   300 g
  Lidl Straccetti di Petto di Pollo,223,1.8,0.68,0,0,0,51.75,0.18,,
   225 g
 Snacks/Other,,,,,,,,,,

"Monday, April 3, 2023",2259,69.81,23.459,296.21,32.57,88.69,115.9,901.45,0,1827.39
 Breakfast,843,30.77,9.677,96.09,12.37,30.61,44.15,186.49,0,516.19
  Kiwi,41,0.35,0.019,9.82,2,6.02,0.76,2,0,209
   67 g
  Fiocchi d'avena Integrali,179,3.36,0.62,28.18,4.8,0.34,6.48,3.84,,
   48 g
  Nocciole 100% Italiane,101,9.3,0.68,1.23,1.41,0.74,2.25,0,,
   15 g
  Mandorle al Naturale,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Whey Protein,118,1.65,1.08,4.5,0.63,1.5,21,180,,
   30 g
  Yogurt alla Greca 10%,121,10,6.6,3.2,,3.2,4.6,0.1,,
   100 g
  Serious Mass,151,0.68,0.24,30,0.32,2.56,6,0.15,,144.19
   40 g
  Dattero,70,0.1,0.008,18.68,2,15.77,0.61,0,0,163
   3 dates
 Lunch,59,5.5,3,1.4,,0.7,1,12,,
  Lindt Cioccolato Fondente 90%,59,5.5,3,1.4,,0.7,1,12,,
"   1 quadratino, 10 g"
 Dinner,965,8.15,3.812,170.2,11.2,48.39,52.05,693.76,0,656.2
  Pere,119,0.25,0.012,31.85,6.4,20.19,0.78,2,0,245
   206 g
  Lidl Albume d'uovo Pastorizzato,112,0,0,2.31,0,0,25.19,431.76,,411.2
   257 g
  Pascoli Italiani Parmigiano Reggiano DOP Grattugiato,60,4.5,3,0,0,0,4.8,240,,
   15 g
  Solevita Succo di Ananas,100,0.2,0,22.6,0,22.6,0.8,20,,
   200 ml
  Barilla Spaghetti N.5,574,3.2,0.8,113.44,4.8,5.6,20.48,0,,
   160 g
 Snacks/Other,392,25.39,6.97,28.52,9,8.99,18.7,9.2,0,655
  Equilibra Protein 35%,176,5.6,4.1,17,,8.1,16,0.2,,
"   1 barretta, 45 g"
  Avocado,216,19.79,2.87,11.52,9,0.89,2.7,9,0,655
   135 g

"Tuesday, April 4, 2023",2344,78.57,27.685,239.85,34.66,94.33,169.3,1779.33,671,3025.19
 Breakfast,1070,45.35,13.921,102.16,17.86,37.6,59.08,530.73,523,766.19
  Crownfield Honey Muesli,215,6.34,0.83,28.65,9.67,3.33,5.88,2.08,,
   52 g
  Uovo Sodo,191,13.11,4.035,1.39,0,1.39,15.54,345,523,156
   124 g
  Nocciole 100% Italiane,81,7.44,0.54,0.98,1.13,0.59,1.8,0,,
   12 g
  Mandorle al Naturale,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Whey Protein,118,1.65,1.08,4.5,0.63,1.5,21,180,,
   30 g
  Yogurt alla Greca 10%,123,10.2,6.73,3.26,,3.26,4.69,0.1,,
   102 g
  Serious Mass,151,0.68,0.24,30,0.32,2.56,6,0.15,,144.19
   40 g
  Dattero,70,0.1,0.008,18.68,2,15.77,0.61,0,0,163
   3 dates
  Kiwi,59,0.5,0.028,14.22,2.9,8.72,1.11,3,0,303
   97 g
 Lunch,,,,,,,,,,
 Dinner,880,27.16,9.384,102.89,16.8,30.48,59.82,957,148,2259
  Lidl Cioccolato Fondente 85%,75,6.08,3.67,2.78,,1.68,1.4,0,,
   13 g
  Banana,98,0.36,0.123,25.12,2.9,13.45,1.2,1,0,394
   110 g
  Pane Bianco,266,3.29,0.717,50.61,2.4,4.31,7.64,681,0,100
   100 g
  Cavolfiore,115,0.46,0.147,24.38,11.5,11.04,9.11,138,0,1394
   460 g
  Coscia di Pollo (Arrosto o Cotta),326,16.97,4.727,0,0,0,40.47,137,148,371
"   3 thighs, bone and skin removed"
 Snacks/Other,394,6.06,4.38,34.8,,26.25,50.4,291.6,,
  Milbona High Protein Drink (Vaniglia),218,0.66,0.33,18.15,,18.15,34.65,198,,
   330 ml
  Equilibra Protein 35%,176,5.4,4.05,16.65,,8.1,15.75,93.6,,
   45 g

"Wednesday, April 5, 2023",2411,75.62,31.1,233.22,39.18,94.75,181.71,3288.24,498.24,985.39
 Breakfast,919,35.84,12.168,93.67,15.78,32.26,51.48,360.25,241,541.19
  Kiwi,32,0.27,0.015,7.62,1.6,4.67,0.59,2,0,162
   52 g
  Uovo Sodo,88,6.02,1.855,0.64,0,0.64,7.14,158,241,72
   57 g
  Crownfield Honey Muesli,206,6.1,0.8,27.55,9.3,3.2,5.65,2,,
   50 g
  Conad Semi di Zucca,67,5.39,0.94,0.9,0.72,0.14,3.3,17.6,,
   11 g
  Mandorle al Naturale,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Whey Protein,118,1.65,1.08,4.5,0.63,1.5,21,180,,
   30 g
  Yogurt alla Greca 10%,125,10.3,6.8,3.3,,3.3,4.74,0.1,,
   103 g
  Serious Mass,151,0.68,0.24,30,0.32,2.56,6,0.15,,144.19
   40 g
  Dattero,70,0.1,0.008,18.68,2,15.77,0.61,0,0,163
   3 dates
 Lunch,419,17.92,7.06,39.98,2.39,9.87,21.81,1689.76,0.24,57.2
  Lindt Lindor Extra Fondente 70% Cacao,51,4.24,3.04,2.32,0.87,2,0.53,0.96,0.24,57.2
   8 g
  Gastronomia di Mare Bastoncini di Surimi,200,7.46,0.73,17.65,,4.91,14.56,1237.6,,
   182 g
  Philadelphia Philadelphia Light in Panetto,57,4.5,3,1.11,0.09,1.11,2.52,216,,
   30 g
  Certossa Pagnotta di Grano Duro,111,1.72,0.29,18.9,1.43,1.85,4.2,235.2,,
   42 g
 Dinner,676,15.27,7.112,65.08,21.01,27.69,57.44,1040.03,257,387
  Lidl Cioccolato Fondente 85%,75,6.08,3.67,2.78,,1.68,1.4,0,,
   13 g
  Mela,81,0.27,0.044,21.54,3.7,16.21,0.41,2,0,167
   156 g
  Philadelphia Philadelphia Light in Panetto,30,2.4,1.6,0.59,0.05,0.59,1.34,115.2,,
   16 g
  Certossa Pagnotta di Grano Duro,74,1.15,0.2,12.6,0.95,1.23,2.8,156.8,,
   28 g
