#-------------------------------------------,,,,,,,,,,
# Food Diary Report - Detailed Report,"Saturday, June 1, 2024","Sunday, June 30, 2024",,,,,,,,
#-------------------------------------------,,,,,,,,,,
,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
# Period Summary,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g),,,,,,
Total,2562,89.42,305.59,146.07,,,,,,
Breakfast,646,22.2,68.25,45.05,,,,,,
Lunch,845,20.23,131.85,40.16,,,,,,
Dinner,721,28.1,69.15,49.14,,,,,,
Snacks/Other,349,18.89,36.34,11.72,,,,,,
,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
# Report Details,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
,,,,,,,,,,
   1 1/2 x 1/4 cup (90 ml),,,,,,,,,,
 Dinner,321,1.68,0.532,38.86,17.9,6.94,41.13,294,52.5,1011
  Great Value Flaked Light Skipjack Tuna,105,0.7,0.35,0,0,0,26.25,280,52.5,
   1 3/4 x 1/2 can (105 ml),,,,,,,,,,
  Tomatoes,40,0.45,0.104,8.82,2.7,5.92,1.98,11,0,533
   225 g,,,,,,,,,,
  Lentils,176,0.53,0.078,30.04,15.2,1.02,12.9,3,0,478
   50 g,,,,,,,,,,
 Snacks/Other,441,29.5,9.32,34.97,4.21,24.77,14.42,263.4,20,66
  No Name Whole Almonds,63,5,0.33,2.33,1.33,0.33,2,0,0,
   10 g,,,,,,,,,,
  President's Choice Lightly Seasoned Peanuts,68,5.5,0.99,2.64,0.88,0.44,2.42,48.4,0,66
   11 g,,,,,,,,,,
  Tim Hortons Double Double Coffee - Small,130,8,4.5,16,0,16,1,45,20,
   1 serving,,,,,,,,,,
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
"   1 bar, 37 g",,,,,,,,,,
,,,,,,,,,,
"Tuesday, June 11, 2024",3384,98.66,46.815,478.89,28.21,87.99,164.7,4850.41,820.57,2289.78
 Breakfast,828,34.39,8.759,72.71,8.9,33.16,57.64,1002.71,650.57,1362.03
  Bananas,112,0.42,0.141,28.78,3.3,15.41,1.37,1,0,451
   126 g,,,,,,,,,,
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   150 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,88,0.8,0.4,5.6,0,5.6,13.6,432,8,160
   100 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),93,1.63,0.47,16.81,1.87,1.4,3.74,144.77,0,70.05
   35 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
"   1 cup, 250 ml",,,,,,,,,,
  No Name Smooth Peanut Butter,156,12.13,2.6,6.93,1.73,1.73,5.2,60.66,0,129.98
   26 g,,,,,,,,,,
 Lunch,766,7.27,3.556,157.18,10.31,17.83,22.06,377.7,15,877.75
  Selection Basmati Rice,551,1.72,0,123.98,3.44,0,10.33,,,
   155 g,,,,,,,,,,
  Kiwi Fruit,54,0.46,0.026,12.9,2.6,7.91,1,3,0,275
   88 g,,,,,,,,,,
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
"   1/3 cup, 30 g",,,,,,,,,,
  Mutti Passata,33,0,0,6.67,1.67,5,1.67,191.7,0,416.75
   100 ml,,,,,,,,,,
  Onions ,48,0.09,0.03,11.63,1.6,4.92,1.06,3,0,166
   115 g,,,,,,,,,,
 Dinner,1440,40,24,208,8,8,72,3280,120,
  Pizza Pizza Cheese Slice,1440,40,24,208,8,8,72,3280,120,
"   8 x 1 slice, 680 g",,,,,,,,,,
 Snacks/Other,350,17,10.5,41,1,29,13,190,35,50
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
  Great Value Strawberry & Yogurt Protein Bar,150,4,2.5,19,1,8,11,110,0,50
"   1 bar, 37 g",,,,,,,,,,
,,,,,,,,,,
"Wednesday, June 12, 2024",2148,64.37,26.3,232.75,18.12,77.37,164.2,1497.25,408,506.8
 Breakfast,,,,,,,,,,
 Lunch,757,11.12,6.05,142.55,9.24,4.99,29.46,518.13,28,431.8
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
   1/3 cup (30 g),,,,,,,,,,
  No Name Spaghettini,638,3.09,0.82,137.95,8.24,4.12,20.59,0,0,411.8
   175 g,,,,,,,,,,
  Classico Alfredo Pasta Sauce,39,3.03,1.73,2.6,0,0.87,0.87,338.13,13,0
   52 ml,,,,,,,,,,
 Dinner,749,19,2.5,19.7,5.88,10.88,114.74,629.12,325,0
  Great Value Bold Deli Style Prepared Mustard,30,0,0,0,0,0,1.8,360,0,
   6 x 1 tsp (30 g),,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,120,14,2,0,0,0,0,0,0,0
   1 tbsp (15 ml),,,,,,,,,,
  Lilydale Chicken Breast Boneless Skinless,525,5,0.5,5,0,5,110,225,325,0
   500 g,,,,,,,,,,
"  Compliments Garden Blend Green Beans, Wax Beans & Baby Carrots",74,0,0,14.7,5.88,5.88,2.94,44.12,0,
   250 g,,,,,,,,,,
 Snacks/Other,642,34.25,17.75,70.5,3,61.5,20,350,55,75
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
"   1 bar, 37 g",,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Tim Hortons Original Iced Latte - Medium,200,5,3,31,0,31,8,100,20,
   1 serving,,,,,,,,,,
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Thursday, June 13, 2024",2517,85.38,28.225,293.52,56.3,104.46,159.14,2117.34,839.82,3399.88
 Breakfast,831,34.41,8.769,72.88,8.9,33.33,58.05,1015.67,650.81,1366.83
  Bananas,112,0.42,0.141,28.78,3.3,15.41,1.37,1,0,451
   126 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,91,0.82,0.41,5.77,0,5.77,14.01,444.96,8.24,164.8
   103 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),93,1.63,0.47,16.81,1.87,1.4,3.74,144.77,0,70.05
   35 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
"   1 cup, 250 ml",,,,,,,,,,
  No Name Smooth Peanut Butter,156,12.13,2.6,6.93,1.73,1.73,5.2,60.66,0,129.98
   26 g,,,,,,,,,,
 Lunch,992,25,3.93,136.72,38.09,3.83,63.35,752.08,50.01,1662.05
  Terra Delyssa Extra Virgin Olive Oil,120,14,2,0,0,0,0,0,0,0
   1 tbsp (15 ml),,,,,,,,,,
  President's Choice Organics Quinoa,320,5,0.8,62,8,2,12,0,0,600
   2 x 1/4 cup (90 g),,,,,,,,,,
  Lentils,318,0.95,0.14,54.07,27.4,1.83,23.22,5,0,860
   90 g,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,100,0.67,0.33,0,0,0,25,266.72,50.01,
   100 ml,,,,,,,,,,
  Great Value Sliced Black Olives,44,4.38,0.66,0,0,0,0.44,175.04,0,
   35 g,,,,,,,,,,
  No Name Sliced White Potatoes,90,0,0,20.65,2.69,0,2.69,305.32,0,202.05
   150 ml,,,,,,,,,,
 Dinner,294,7.97,4.526,30.92,9.31,15.3,27.74,169.59,84,371
  Our Finest 85% Swiss Dark Chocolate,75,6.3,3.9,4.2,1.2,1.8,1.2,,,90
   12 g,,,,,,,,,,
  Kiwi Fruit,55,0.47,0.026,13.19,2.7,8.09,1.03,3,0,281
   90 g,,,,,,,,,,
"  Compliments Garden Blend Green Beans, Wax Beans & Baby Carrots",68,0,0,13.53,5.41,5.41,2.71,40.59,0,
   230 g,,,,,,,,,,
  No Name Blue Cod Fillets,96,1.2,0.6,0,,,22.8,126,84,
   120 g,,,,,,,,,,
 Snacks/Other,400,18,11,53,0,52,10,180,55,
  Tim Hortons Original Iced Latte - Medium,200,5,3,31,0,31,8,100,20,
   1 serving,,,,,,,,,,
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Friday, June 14, 2024",2586,86.58,28.758,304.29,51.79,138.46,163.67,1923.71,764.32,4191.87
 Breakfast,839,35.22,8.934,72.89,8.98,33.84,58.18,1007.95,650.81,1384.87
  Bananas,116,0.43,0.146,29.69,3.4,15.9,1.42,1,0,465
   130 g,,,,,,,,,,
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   150 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,91,0.82,0.41,5.77,0,5.77,14.01,444.96,8.24,164.8
   103 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),85,1.49,0.43,15.37,1.71,1.28,3.42,132.37,0,64.05
   32 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
"   1 cup, 250 ml",,,,,,,,,,
  No Name Smooth Peanut Butter,168,13.07,2.8,7.47,1.87,1.87,5.6,65.34,0,140.02
   28 g,,,,,,,,,,
 Lunch,942,21.53,3.35,139.52,36.01,37.44,55.23,452.76,48.51,1668
  Mango,135,0.56,0.137,35.19,3.7,30.64,1.06,4,0,323
   1 mango,,,,,,,,,,
  Great Value Sliced Black Olives,44,4.38,0.66,0,0,0,0.44,175.04,0,
   35 g,,,,,,,,,,
  Tomatoes,33,0.37,0.085,7.25,2.2,4.87,1.63,9,0,438
   185 g,,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,120,14,2,0,0,0,0,0,0,0
   1 tbsp (15 ml),,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,97,0.65,0.32,0,0,0,24.26,258.72,48.51,
   97 ml,,,,,,,,,,
  Selection Basmati Rice,178,0.56,0,40,1.11,0,3.33,,,
   50 g,,,,,,,,,,
  Lentils,335,1.01,0.148,57.08,29,1.93,24.51,6,0,907
   95 g,,,,,,,,,,
 Dinner,455,12.83,5.974,50.88,5.8,38.18,37.26,273,30,1089
  Beatrice Bfit,300,4.5,2.5,31,1,27,34,270,30,650
   1 bottle (460 ml),,,,,,,,,,
  Almonds ,29,2.53,0.194,0.99,0.6,0.24,1.06,0,0,36
   5 g,,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Kiwi Fruit,64,0.55,0.03,15.39,3.2,9.44,1.2,3,0,328
   105 g,,,,,,,,,,
 Snacks/Other,350,17,10.5,41,1,29,13,190,35,50
  Great Value Strawberry & Yogurt Protein Bar,150,4,2.5,19,1,8,11,110,0,50
"   1 bar, 37 g",,,,,,,,,,
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Saturday, June 15, 2024",2667,89.51,29.024,309.73,29.03,84.83,171.99,2072.07,866.25,3194.64
 Breakfast,739,24.11,7.179,64.86,7.26,28.22,67.69,741.72,643.03,1226
  Bananas,120,0.45,0.151,30.83,3.5,16.51,1.47,1,0,483
   135 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,31,0,0,4.21,0,3.06,3.06,28.72,3.83,
   67 g,,,,,,,,,,
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,57,0.52,0.26,3.64,0,3.64,8.84,280.8,5.2,104
   65 g,,,,,,,,,,
  Six Star Whey Protein +,134,1.97,1.18,6.3,,1.57,23.61,0,0,
   37 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),80,1.4,0.4,14.4,1.6,1.2,3.2,124,0,60
   30 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,97,4.86,0.54,4.32,2.16,1.08,8.64,97.2,,378
   270 ml,,,,,,,,,,
 Lunch,711,14.82,6.06,127.04,7.97,4.82,24.75,575.19,27.5,378.14
  Terra Delyssa Extra Virgin Olive Oil,40,4.66,0.67,0,0,0,0,0,0,0
   5 ml,,,,,,,,,,
  Classico Alfredo Pasta Sauce,53,4.08,2.33,3.5,0,1.17,1.17,455.13,17.5,0
   70 ml,,,,,,,,,,
  Great Value Partly Skim Mozzarella,53,3.34,2.33,1.33,0.67,0,5.34,120.06,10,13.34
   20 g,,,,,,,,,,
  No Name Spaghettini,565,2.74,0.73,122.21,7.3,3.65,18.24,0,0,364.8
   155 g,,,,,,,,,,
 Dinner,1017,37.58,7.785,95.83,13.8,30.79,77.55,675.16,160.72,1590.5
  Great Value Bold Deli Style Prepared Mustard,27,0,0,0,0,0,1.62,324,0,
   27 g,,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,69,5.78,3.58,3.85,1.1,1.65,1.1,,,82.5
   11 g,,,,,,,,,,
  Bananas ,119,0.44,0.15,30.61,3.5,16.39,1.46,1,0,480
   134 g,,,,,,,,,,
  No Name Boneless Skinless Chicken Breast,300,3.21,0,0,0,0,68.58,182.16,160.72,
   285 g,,,,,,,,,,
  Sweet Potato ,262,0.15,0.055,61.37,9.2,12.75,4.79,168,0,1028
   305 g,,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,240,28,4,0,0,0,0,0,0,0
   2 x 1 tbsp (30 ml),,,,,,,,,,
 Snacks/Other,200,13,8,22,0,21,2,80,35,
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Sunday, June 16, 2024",2500,88.82,29.152,271.1,24.48,81.08,170.63,940.24,264.55,933.5
 Breakfast,613,12.4,2.76,84.68,12.91,15.76,44.34,160.75,0,563
  Six Star Whey Protein +,127,1.86,1.12,5.96,,1.49,22.35,0,0,
   35 g,,,,,,,,,,
  Great Value Original Granola,240,2.73,0.55,48,6.55,13.09,6.55,54.55,0,
   60 g,,,,,,,,,,
  Great Value Quick Oats,140,2.5,0.5,26,4,0,6,0,0,150
   1/2 cup (40 g),,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,106,5.31,0.59,4.72,2.36,1.18,9.44,106.2,,413
   295 ml,,,,,,,,,,
 Lunch,1110,38.22,7.5,98.01,3.67,0,99.01,400.49,209.55,20
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
   1/3 cup (30 g),,,,,,,,,,
  Selection Basmati Rice,427,1.33,0,96.01,2.67,0,8,,,
   120 g,,,,,,,,,,
  No Name Boneless Skinless Chicken Breast,363,3.89,0,0,0,0,83.01,220.49,194.55,
   345 g,,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,240,28,4,0,0,0,0,0,0,0
   2 x 1 tbsp (30 ml),,,,,,,,,,
 Dinner,227,16.2,5.392,16.41,6.9,5.32,6.28,89,0,300.5
  President's Choice Lightly Seasoned Peanuts,124,10,1.8,4.8,1.6,0.8,4.4,88,0,120
   20 g,,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,69,5.78,3.58,3.85,1.1,1.65,1.1,,,82.5
   11 g,,,,,,,,,,
  Raspberries ,34,0.42,0.012,7.76,4.2,2.87,0.78,1,0,98
   65 g,,,,,,,,,,
 Snacks/Other,550,22,13.5,72,1,60,21,290,55,50
  Tim Hortons Original Iced Latte - Medium,200,5,3,31,0,31,8,100,20,
   1 serving,,,,,,,,,,
  Great Value Strawberry & Yogurt Protein Bar,150,4,2.5,19,1,8,11,110,0,50
"   1 bar, 37 g",,,,,,,,,,
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Monday, June 17, 2024",2709,90.51,24.525,324.71,30.26,159.71,158.92,2619.72,711.08,3149.1
 Breakfast,764,32.33,8.183,62.43,7.7,29.49,55.31,956.4,617.57,1241.8
  Bananas,89,0.33,0.112,22.84,2.6,12.23,1.09,1,0,358
   100 g,,,,,,,,,,
  Egg,209,14.11,4.401,1.09,0,1.09,17.86,199,601,190
   142 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,88,0.8,0.4,5.6,0,5.6,13.6,432,8,160
   100 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),72,1.26,0.36,12.96,1.44,1.08,2.88,111.6,0,54
   27 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,93,4.63,0.51,4.11,2.06,1.03,8.22,92.52,,359.8
   257 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,144,11.2,2.4,6.4,1.6,1.6,4.8,56,0,120
   24 g,,,,,,,,,,
 Lunch,945,23.03,3.477,140.25,14.6,34.14,46.97,1106.52,48.51,572.3
  Mango,135,0.56,0.137,35.19,3.7,30.64,1.06,4,0,323
   1 mango,,,,,,,,,,
  No Name Sliced White Potatoes,111,0,0,25.48,3.32,0,3.32,376.72,0,249.3
   185 ml,,,,,,,,,,
  Great Value Sliced Black Olives,50,5,0.75,0,0,0,0.5,200,0,
   2 1/2 x 2 tbsp (40 g),,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,120,14,2,0,0,0,0,0,0,0
   1 tbsp (15 ml),,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,97,0.49,0.32,0,0,0,24.26,258.72,48.51,
   97 ml,,,,,,,,,,
  Great Value Chick Peas,143,2.04,0.27,23.12,4.76,0.68,7.48,265.2,,
   170 g,,,,,,,,,,
  Fiorfiore Spaghetti,289,0.94,,56.46,2.82,2.82,10.35,1.88,0,
   80 g,,,,,,,,,,
 Dinner,670,21.15,7.865,85.03,5.96,68.08,41.64,371.8,30,1335
  Grapes,172,0.4,0.135,45.25,2.2,38.7,1.8,5,0,478
   250 g,,,,,,,,,,
  President's Choice Lightly Seasoned Peanuts,136,11,1.98,5.28,1.76,0.88,4.84,96.8,0,132
   22 g,,,,,,,,,,
  Beatrice Bfit,300,4.5,2.5,31,1,27,34,270,30,650
   1 bottle (460 ml),,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
 Snacks/Other,330,14,5,37,2,28,15,185,15,
  Tim Hortons Original Iced Latte - Small,150,4,2,22,0,22,6,80,15,
   1 serving,,,,,,,,,,
  Great Value Peanut Protein Bar,180,10,3,15,2,6,9,105,0,
   1 bar (37 g),,,,,,,,,,
,,,,,,,,,,
"Tuesday, June 18, 2024",2504,113.31,32.498,229.6,38.61,79.87,154.29,2143.51,704.56,2478.82
 Breakfast,773,32.88,8.317,62.97,7.81,29.06,55.72,970.42,617.57,1232.02
  Bananas,85,0.31,0.106,21.7,2.5,11.62,1.04,1,0,340
   95 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Egg,209,14.11,4.401,1.09,0,1.09,17.86,199,601,190
   142 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,88,0.8,0.4,5.6,0,5.6,13.6,432,8,160
   100 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),80,1.4,0.4,14.4,1.6,1.2,3.2,124,0,60
   30 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,92,4.59,0.51,4.08,2.04,1.02,8.16,91.8,,357
   255 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,150,11.67,2.5,6.67,1.67,1.67,5,58.34,0,125.02
   25 g,,,,,,,,,,
 Lunch,850,30.78,8.461,93.07,17.88,5.31,57.37,812.28,51.99,691
  Raspberries,31,0.39,0.011,7.16,3.9,2.65,0.72,1,0,91
   60 g,,,,,,,,,,
  Ziggy's Internationale Pizza Mozzarella,107,6.66,4.67,1.33,1.33,,10.66,,,
   40 g,,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,80,9.34,1.33,0,0,0,0,0,0,0
   10 ml,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,104,0.52,0.35,0,0,0,26,277.28,51.99,
   104 ml,,,,,,,,,,
  Great Value Chick Peas,139,1.99,0.27,22.58,4.65,0.66,7.3,258.96,,
   166 g,,,,,,,,,,
  Great Value Sliced Black Olives,69,6.88,1.03,0,0,0,0.69,275.04,0,
   55 g,,,,,,,,,,
  President's Choice Organics Quinoa,320,5,0.8,62,8,2,12,0,0,600
   2 x 1/4 cup (90 g),,,,,,,,,,
 Dinner,462,24,2.62,34.18,5.44,21.15,27.1,142.06,0,365.18
  President's Choice Lightly Seasoned Peanuts,112,9,1.62,4.32,1.44,0.72,3.96,79.2,0,108
   18 g,,,,,,,,,,
  No Name Whole Almonds,190,15,1,7,4,1,6,0,0,
   1/4 cup (30 g),,,,,,,,,,
  Liberte Greek Yogurt - Vanilla,160,0,,22.86,0,19.43,17.14,62.86,0,257.18
   200 g,,,,,,,,,,
 Snacks/Other,419,25.65,13.1,39.38,7.48,24.35,14.1,218.75,35,190.62
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Simply Protein Peanut Butter Chocolate Bar,157,7.4,1.85,13.88,6.48,1.85,11.1,138.75,0,115.62
   37 g,,,,,,,,,,
,,,,,,,,,,
"Wednesday, June 19, 2024",2516,98.59,28.374,266.44,29.65,108.04,150.72,2280.41,853.57,2676.1
 Breakfast,790,32.95,8.34,67.54,8.31,31.5,55.93,970.42,617.57,1304.02
  Bananas,102,0.38,0.129,26.27,3,14.06,1.25,1,0,412
   115 g,,,,,,,,,,
  Egg,209,14.11,4.401,1.09,0,1.09,17.86,199,601,190
   142 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,88,0.8,0.4,5.6,0,5.6,13.6,432,8,160
   100 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),80,1.4,0.4,14.4,1.6,1.2,3.2,124,0,60
   30 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,92,4.59,0.51,4.08,2.04,1.02,8.16,91.8,,357
   255 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,150,11.67,2.5,6.67,1.67,1.67,5,58.34,0,125.02
   25 g,,,,,,,,,,
 Lunch,895,29.32,10.458,104.35,13.27,7.66,57.41,1008.59,221,612.6
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
"   1/4 x 4 squares, 10 g",,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,80,9.34,1.33,0,0,0,0,0,0,0
   10 ml,,,,,,,,,,
  Raspberries ,22,0.27,0.008,5.01,2.7,1.86,0.5,0,0,63
   42 g,,,,,,,,,,
  Ziggy's Internationale Pizza Mozzarella,115,7.16,5.02,1.43,1.43,,11.46,,,
   43 g,,,,,,,,,,
  Sunrise Medium Firm Tofu,82,4.7,0.59,2.35,0,0,8.23,0,0,205.8
   100 g,,,,,,,,,,
  Unico Black Beans,108,0.77,0,21.5,4.61,0.77,7.68,330.24,0,268.8
   96 ml,,,,,,,,,,
  Great Value Pacific White Shrimp Cooked,65,0.65,0.26,0,0,0,15.6,676,221,0
   130 g,,,,,,,,,,
  Fiorfiore Spaghetti,361,1.18,,70.56,3.53,3.53,12.94,2.35,0,
   100 g,,,,,,,,,,
 Dinner,551,20.32,2.576,68.55,6.07,51.88,27.38,156.4,0,759.48
  Grapes,136,0.32,0.106,35.66,1.8,30.5,1.42,4,0,376
   197 g,,,,,,,,,,
  Liberte Greek Yogurt - Vanilla,164,0,,23.42,0,19.91,17.56,64.4,0,263.48
   205 g,,,,,,,,,,
  No Name Whole Almonds,127,10,0.67,4.67,2.67,0.67,4,0,0,
   20 g,,,,,,,,,,
  President's Choice Lightly Seasoned Peanuts,124,10,1.8,4.8,1.6,0.8,4.4,88,0,120
   20 g,,,,,,,,,,
 Snacks/Other,280,16,7,26,2,17,10,145,15,
  Great Value Peanut Protein Bar,180,10,3,15,2,6,9,105,0,
   1 bar (37 g),,,,,,,,,,
  Tim Hortons Regular Coffee - Medium,100,6,4,11,0,11,1,40,15,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Thursday, June 20, 2024",2496,80.86,23.4,302.23,35.3,82.59,154.44,2475.21,737.55,3536.59
 Breakfast,833,30.73,8.741,81.73,9.17,31.22,57.66,1098.95,643.09,1292.05
  Bananas,91,0.34,0.114,23.3,2.7,12.47,1.11,1,0,365
   102 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,70,0,0,9.56,0,6.95,6.95,65.18,8.69,
   152 g,,,,,,,,,,
  Egg,218,14.71,4.587,1.14,0,1.14,18.62,207,626,198
   148 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,92,0.84,0.42,5.88,0,5.88,14.28,453.6,8.4,168
   105 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),149,2.61,0.75,26.89,2.99,2.24,5.98,231.57,0,112.05
   56 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,85,4.23,0.47,3.76,1.88,0.94,7.52,84.6,,329
   235 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,128,8,2.4,11.2,1.6,1.6,3.2,56,0,120
   24 g,,,,,,,,,,
 Lunch,787,7.92,4.269,155.97,15.1,46.59,29.74,541.54,15,1235.75
  Mango,135,0.56,0.137,35.19,3.7,30.64,1.06,4,0,323
   1 mango,,,,,,,,,,
  Mutti Passata,62,0,0,12.33,3.08,9.25,3.08,354.54,0,770.75
   185 ml,,,,,,,,,,
  Onions ,36,0.07,0.022,8.59,1.2,3.64,0.78,3,0,122
   85 g,,,,,,,,,,
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
   1/3 cup (30 g),,,,,,,,,,
  Primo Spaghettini,474,2.29,0.61,97.86,6.12,3.06,16.82,0,0,
   130 g,,,,,,,,,,
 Dinner,679,32.3,4.17,41.76,10.03,2.43,63.19,780.8,52.5,929.55
  President's Choice Lightly Seasoned Peanuts,124,10,1.8,4.8,1.6,0.8,4.4,88,0,120
   20 g,,,,,,,,,,
  No Name Whole Almonds,127,10,0.67,4.67,2.67,0.67,4,0,0,
   20 g,,,,,,,,,,
  Unico Black Beans,134,0.96,0,26.88,5.76,0.96,9.6,412.8,0,336
   120 ml,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,105,0.52,0.35,0,0,0,26.25,280,52.5,
"   1 3/4 x 1/2 can, 105 ml",,,,,,,,,,
  Sunrise Medium Firm Tofu,189,10.82,1.35,5.41,0,0,18.94,0,0,473.55
   230 g,,,,,,,,,,
