#-------------------------------------------,,,,,,,,,,
# Food Diary Report - Detailed Report,"Saturday, June 1, 2024","Sunday, June 30, 2024",,,,,,,,
#-------------------------------------------,,,,,,,,,,
,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
# Period Summary,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g),,,,,,
Total,2562,89.42,305.59,146.07,,,,,,
Breakfast,646,22.2,68.25,45.05,,,,,,
Lunch,845,20.23,131.85,40.16,,,,,,
Dinner,721,28.1,69.15,49.14,,,,,,
Snacks/Other,349,18.89,36.34,11.72,,,,,,
,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
# Report Details,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
,,,,,,,,,,
  Kiwi Fruit,55,0.47,0.026,13.19,2.7,8.09,1.03,3,0,281
   90 g,,,,,,,,,,
  Mutti Passata,37,0,0,7.33,1.83,5.5,1.83,210.8,0,458.25
   110 ml,,,,,,,,,,
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
   1/3 cup (30 g),,,,,,,,,,
  No Name Elbow Macaroni,511,2.47,,110.35,6.59,3.29,16.47,0,0,329.4
   140 g,,,,,,,,,,
  Garlic ,15,0.05,0.009,3.31,0.2,0.1,0.64,2,0,40
   10 g,,,,,,,,,,
 Dinner,508,31.72,5.063,3.73,2.7,1.04,56.12,1150.97,157.74,138
  Terra Delyssa Extra Virgin Olive Oil,160,18.66,2.67,0,0,0,0,0,0,0
   20 ml,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,99,0.66,0.33,0,0,0,24.75,264,49.5,
   99 ml,,,,,,,,,,
  Catch of The Day Basa Fillets,230,12.18,2.03,0,0,0,29.77,662.97,108.24,0
   230 g,,,,,,,,,,
"  Cooked Cauliflower (from Frozen, Fat Not Added in Cooking)",19,0.22,0.033,3.73,2.7,1.04,1.6,224,0,138
   100 g,,,,,,,,,,
 Snacks/Other,502,35.25,9.25,30.5,7,18.5,19,205,10,75
  No Name Whole Almonds,190,15,1,7,4,1,6,0,0,
   1/4 cup (30 g),,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
"  Val Nature Proteines Saveur Arachides, Amandes et Chocolat Noir",180,11,2.5,12,2,8,11,180,0,
"   1 barre, 37 g",,,,,,,,,,
  Tim Hortons Regular Coffee - Small,70,4,2.5,8,0,8,1,25,10,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Tuesday, June 4, 2024",2271,79.77,26.05,277.07,42.07,67.15,124.66,1368.01,451.6,2886.84
 Breakfast,616,22.72,5.618,64.19,6.74,32.7,39.03,606.29,355.24,931.83
  Bananas,85,0.31,0.106,21.7,2.5,11.62,1.04,1,0,340
   95 g,,,,,,,,,,
  Egg,122,8.25,2.572,0.64,0,0.64,10.44,116,351,111
   83 g,,,,,,,,,,
  Liberte Greek Yogurt - Blood Orange,104,0,,16.9,0,14.3,7.8,32.5,,
   130 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,47,0.42,0.21,2.97,0,2.97,7.21,228.96,4.24,84.8
   53 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),77,1.35,0.39,13.93,1.55,1.16,3.1,119.97,0,58.05
   29 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,61,3.06,0.34,2.72,1.36,0.68,5.44,61.2,,238
   170 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,120,9.33,2,5.33,1.33,1.33,4,46.66,0,99.98
   20 g,,,,,,,,,,
 Lunch,857,20.11,5.52,130.44,5.56,6.44,44,546.72,86.36,375.01
  Strawberries ,43,0.4,0.02,10.21,2.7,6.2,0.89,1,0,203
   133 g,,,,,,,,,,
  No Name Tuna,107,0.71,,0,0,0,24.98,365.72,71.36,
   107 g,,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,120,14,2,0,0,0,0,0,0,0
   1 tbsp (15 ml),,,,,,,,,,
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
   1/3 cup (30 g),,,,,,,,,,
  President's Choice Basmati Rice,507,0,0,118.23,1.86,0.24,10.13,0,0,152.01
   152 g,,,,,,,,,,
 Dinner,486,16.69,5.662,56.94,26.77,10.51,30.63,20,0,1505
  Terra Delyssa Extra Virgin Olive Oil,80,9.34,1.33,0,0,0,0,0,0,0
   10 ml,,,,,,,,,,
  Tomatoes,48,0.53,0.123,10.47,3.2,7.02,2.35,13,0,633
   267 g,,,,,,,,,,
  Cucumber (Peeled) ,18,0.24,0.02,3.24,1,2.07,0.88,3,0,204
   150 g,,,,,,,,,,
  Ziggy's Internationale Pizza Mozzarella,93,5.84,4.08,1.17,1.17,,9.34,,,
   35 g,,,,,,,,,,
  Lentils ,247,0.74,0.109,42.06,21.4,1.42,18.06,4,0,668
   70 g,,,,,,,,,,
 Snacks/Other,312,20.25,9.25,25.5,3,17.5,11,195,10,75
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Tim Hortons Regular Coffee - Small,70,4,2.5,8,0,8,1,25,10,
   1 serving,,,,,,,,,,
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
"   1 bar, 37 g",,,,,,,,,,
,,,,,,,,,,
"Wednesday, June 5, 2024",2370,87.93,24.261,244,30.72,78.92,153.56,2386.52,579.33,1903.92
 Breakfast,694,24.11,5.98,79.68,8.19,40.8,41.11,627.52,355.24,1091.78
  Bananas,125,0.47,0.158,32.2,3.7,17.24,1.54,1,0,505
   141 g,,,,,,,,,,
  Liberte Greek Yogurt - Blood Orange,120,0,,19.5,0,16.5,9,37.5,,
   150 g,,,,,,,,,,
  Egg,122,8.25,2.572,0.64,0,0.64,10.44,116,351,111
   83 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,47,0.42,0.21,2.97,0,2.97,7.21,228.96,4.24,84.8
   53 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),88,1.54,0.44,15.84,1.76,1.32,3.52,136.4,0,66
   33 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,54,2.7,0.3,2.4,1.2,0.6,4.8,54,,210
   150 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,138,10.73,2.3,6.13,1.53,1.53,4.6,53.66,0,114.98
   23 g,,,,,,,,,,
 Lunch,665,16.29,4.211,112.8,11.16,6.64,22.75,387.25,12.34,410.14
  Great Value Partly Skim Mozzarella,53,3.34,2.33,1.33,0.67,0,5.34,120.06,10,13.34
   20 g,,,,,,,,,,
  Classico Basil Pesto,107,10.27,1.87,1.87,0.47,0.93,1.4,266.19,2.34,
   28 g,,,,,,,,,,
  Raspberries ,31,0.39,0.011,7.16,3.9,2.65,0.72,1,0,91
   60 g,,,,,,,,,,
  No Name Elbow Macaroni,474,2.29,,102.44,6.12,3.06,15.29,0,0,305.8
   130 g,,,,,,,,,,
 Dinner,450,8.53,3.6,12.05,5.1,6.01,71.3,1068.75,191.75,282
  Great Value Bold Deli Style Prepared Mustard,50,0,0,0,0,0,3,600,0,
   10 x 1 tsp (50 g),,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
"   1/4 x 4 squares, 10 g",,,,,,,,,,
  Lilydale Chicken Breast Boneless Skinless,310,2.95,0.3,2.95,0,2.95,64.9,132.75,191.75,0
   295 g,,,,,,,,,,
"  Cooked Cauliflower (from Frozen, Fat Not Added in Cooking)",28,0.33,0.05,5.6,4.1,1.56,2.4,336,0,207
   150 g,,,,,,,,,,
 Snacks/Other,561,39,10.47,39.47,6.27,25.47,18.4,303,20,120
  No Name Whole Almonds,127,10,0.67,4.67,2.67,0.67,4,0,0,
   20 g,,,,,,,,,,
  President's Choice Lightly Seasoned Peanuts,124,10,1.8,4.8,1.6,0.8,4.4,88,0,120
   20 g,,,,,,,,,,
  Tim Hortons Double Double Coffee - Small,130,8,4.5,16,0,16,1,45,20,
   1 serving,,,,,,,,,,
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
"   1 bar, 37 g",,,,,,,,,,
,,,,,,,,,,
"Thursday, June 6, 2024",2336,79.11,23.669,307.06,38.07,81.05,118.46,1703.49,457.16,2947.97
 Breakfast,637,22.42,5.585,71.26,7.23,36.73,38.42,567.99,354.52,977.38
  Bananas,106,0.39,0.133,27.18,3.1,14.55,1.3,1,0,426
   119 g,,,,,,,,,,
  Egg,122,8.25,2.572,0.64,0,0.64,10.44,116,351,111
   83 g,,,,,,,,,,
  Liberte Greek Yogurt - Blood Orange,116,0,,18.85,0,15.95,8.7,36.25,,
   145 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,39,0.35,0.18,2.46,0,2.46,5.98,190.08,3.52,70.4
   44 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),80,1.4,0.4,14.4,1.6,1.2,3.2,124,0,60
   30 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,54,2.7,0.3,2.4,1.2,0.6,4.8,54,,210
   150 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,120,9.33,2,5.33,1.33,1.33,4,46.66,0,99.98
   20 g,,,,,,,,,,
 Lunch,607,6.02,2.973,120.68,11.6,10.05,23.64,308.86,10,826.79
  Raspberries ,23,0.29,0.008,5.25,2.9,1.94,0.53,0,0,66
   44 g,,,,,,,,,,
  Great Value Partly Skim Mozzarella,53,3.34,2.33,1.33,0.67,0,5.34,120.06,10,13.34
   20 g,,,,,,,,,,
  Mutti Passata,33,0,0,6.53,1.63,4.9,1.63,187.8,0,408.25
   98 ml,,,,,,,,,,
