#-------------------------------------------
# Food Diary Report - Detailed Report,"sabato, gennaio 1, 2022","lunedì, gennaio 31, 2022"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
   30 g
  Granarolo Latte Parzialmente Scremato,70,"2,4","1,65","7,42",,"7,42","4,72",75,,
"   3/4 x 1 bicchiere, 150 ml"
  Misura Fette Biscottate Integrali,70,1,"0,2","11,6","2,4","1,2","2,2",220,,
"   2 x 1 fetta, 16 g"
  Avocado,161,"14,73","2,137","8,57","6,7","0,66","2,01",7,0,487
   1/2 avocado
  Dattero,23,"0,03","0,003","6,23","0,7","5,26","0,2",0,0,54
   1 dattero
 Pranzo,717,"21,11","12,195","83,68","5,4","20,94","48,65","3457,4","57,97","467,94"
  Milbona Edam,209,"15,41","10,92","0,07",0,0,"16,75","1514,2","57,97","115,94"
   67 g
  Dal Salumiere Petto di Tacchino al Forno,115,"1,32","0,36","4,2",0,"0,96","21,6","1123,2",,
   120 g
  Pane Bianco,319,"3,95","0,86","60,73","2,9","5,17","9,17",817,0,120
   120 g
  Mandarino,74,"0,43","0,055","18,68","2,5","14,81","1,13",3,0,232
"   2 piccoli (5,5 cm di diametro)"
 Cena,,,,,,,,,,
 Snacks/Altro,529,"31,46","4,318","50,81","6,42","7,51","16,61","679,5",0,333
  Hero Marmellata Light Frutti di Bosco,9,"0,05",0,"2,85","0,22","0,7","0,08",0,,
   25 g
  Burro di Arachidi,118,"10,08","2,058","3,91","1,2","1,84","5,02",92,0,130
   20 g
  Mulino Bianco Pan Bauletto,128,"1,8","0,2","22,8","2,2","3,4",4,520,,
"   2 x 1 fetta, 47 g"
  Crownfield Barrette Muesli Nocciola,101,"3,82","0,6","15,55",0,"0,2",2,"67,5",,
   25 g
  Noci,65,"6,52","0,613","1,37","0,7","0,26","1,52",0,0,44
   10 g
  Pistacchi,39,"3,11","0,381","1,96","0,7","0,53","1,44",0,0,72
   10 semi
  Mandorle,69,"6,08","0,466","2,37","1,4","0,58","2,55",0,0,87
   10 mandorle

Totale,6213,"243,48","84,772","660,57","80,24","210,78","366,72","12775,49","538,94","4324,88"
