#-------------------------------------------
# Food Diary Report - Detailed Report,"martedì, novembre 1, 2022","mercoledì, novembre 30, 2022"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
Totale,2537,"78,77","303,49","153,67"
Colazione,620,"12,11","79,48","47,03"
Pranzo,1047,"38,06","129,42","46,28"
Cena,551,"17,77","60,68","38,03"
Snacks/Altro,319,"10,82","33,91","22,33"

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cal ( kcal),Gras( g),Sat( g),Carb( g),Fibre( g),Zucch( g),Prot( g),Sod( mg),Coles( mg),Potassio( mg)

"martedì, novembre 8, 2022",2631,"74,8","26,374","312,32","51,27","110,27","184,93","2746,22",634,"2606,45"
 Colazione,594,"13,19","3,653","83,09","6,68","26,29","37,89","334,27",0,"669,55"
  Granarolo Latte Parzialmente Scremato Più Giorni,66,"2,19","1,51","6,85",0,"6,85","4,44",0,,
   137 ml
  Avocado,99,"9,09","1,318","5,29","4,2","0,41","1,24",4,0,301
   62 g
  Decathlon Whey Protein Vanilla Flavour,110,"0,63","0,39","4,5","0,6","3,9",21,330,,
   30 g
  Optimum Nutrition Serious Mass,272,"1,22","0,43",54,"0,58","4,61","10,8","0,27",,"259,55"
   72 g
  Dattero,47,"0,06","0,005","12,45","1,3","10,52","0,41",0,0,109
   2 datteri
 Pranzo,799,"25,52","9,591","109,78","30,04","30,89","35,93","1604,97",0,"1187,9"
  Fin Carrè Cioccolato Fondente 74%,34,"2,52","1,56","1,92",,"1,56","0,59","1,2",,"42,9"
   6 g
  Melograno,95,"0,42","0,053","24,04","0,8","23,2","1,33",4,0,363
   140 g
  Zuppa di Lenticchie,407,"10,05","1,298","58,26","27,2","5,21","22,81",1368,0,782
   543 g
  Certossa Bio Grissini al Farro,159,"4,03","0,56","24,98","2,04","0,92","4,74","0,57",,
   37 g
  Italiamo Gorgonzola Dop Dolce,104,"8,5","6,12","0,58",,0,"6,46","231,2",,
   34 g
 Cena,755,"23,86","7,85","66,66",12,"23,03","71,84","578,1",634,749
  Uva Bianca,69,"0,16","0,054","18,1","0,9","15,48","0,72",2,0,
   100 g
  Fagiolini Verdi,81,"0,31","0,068","18,68","8,9","3,67","4,77",16,0,548
   262 g
