#-------------------------------------------
# Food Diary Report - Detailed Report,"domenica, agosto 1, 2021","martedì, agosto 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
Totale,2237,"75,74","244,95","144,03"
Colazione,285,"9,37","37,24","12,45"
Pranzo,1082,"39,79","127,79","51,99"
Cena,622,"16,62","52,73","65,45"
Snacks/Altro,248,"9,95","27,19","14,13"

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cal ( kcal),Gras( g),Sat( g),Carb( g),Fibre( g),Zucch( g),Prot( g),Sod( mg),Coles( mg),Potassio( mg)

"venerdì, agosto 20, 2021",2161,"88,36","37,762","220,51","19,05","79,57","133,26","1790,76",474,3159
 Colazione,,,,,,,,,,
 Pranzo,1267,"54,13","21,893","143,81","10,02","49,7","55,4",1121,474,1704
  Caffè (Espresso),1,"0,05","0,028",0,0,0,"0,04",4,0,34
"   1 29,6 ml"
  Uovo,129,"8,75","2,727","0,68",0,"0,68","11,07",123,372,118
   2 medi
  Pesto,182,"17,01","4,409","1,72","0,5","0,28","6,15",238,14,69
   34 g
  Muffin con Gocce di Cioccolato,155,"6,13","1,994","21,94","0,8","5,79","3,5",191,19,75
   48 g
  Primo Sale,249,"19,66","12,178","1,87",0,"0,31","16,14",479,69,
   98 g
  Pomodori,34,"0,38","0,087","7,45","2,3",5,"1,67",10,0,450
   190 g
  Meloni Gialli,151,"0,59","0,16","38,18","3,4","34,1","2,27",76,0,958
   420 g
  De Cecco Spaghetti ,366,"1,56","0,31","71,97","3,02","3,54","14,56",,,
   104 g
 Cena,457,"19,02","11,121","29,77","3,8","2,47","45,38","399,76",0,897
  Osella Linea,210,"16,15","10,45","3,04",,"2,47","12,35","391,4",,
   95 g
  Findus Filetto di Merluzzo,133,"1,98","0,54",0,0,0,"28,8","0,36",,
   180 g
  Peperoni Gialli Dolci,114,"0,89","0,131","26,73","3,8",,"4,23",8,0,897
   423 g
 Snacks/Altro,437,"15,21","4,748","46,93","5,23","27,4","32,48",270,0,558
  Decathlon Whey Protein ,116,"1,59","1,05","4,5","0,63","1,5","20,7",132,,
   30 g
  Mandorle,58,"5,06","0,388","1,97","1,2","0,48","2,13",0,0,73
   10 g
  Anacardi,58,"4,78","0,848","3,02","0,3","0,5","1,68",31,0,63
   10 g
  Banana,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 media (18 cm - 20 cm di lunghezza)
  Granarolo Latte Parzialmente Scremato,100,"3,39","2,33","10,49",,"10,49","6,68",106,,
   212 ml

"lunedì, agosto 23, 2021",2234,"63,51","21,545","217,02","23,81","66,92","190,16","3350,46",876,1828
 Colazione,587,"17,81","6,904","63,67","5,73","28,14","40,13","172,41",0,65
  Esselunga Fette Biscottate Integrali,64,1,"0,2",11,"1,2","0,6",2,80,,
"   2 x 1 fetta, 16 g"
  Foodspring Whey Protein ,113,"1,4","0,9","1,6",,"1,6",24,"0,18",,
"   3 cucchiai, 30 g"
  Marmellate e Conserve,39,"0,01","0,001","9,64","0,2","6,79","0,05",4,0,11
   1 pacchetto (15 g)
  Sodano Burro di Arachidi,92,"7,5","1,26","1,95","1,23","0,82","3,81",0,,
   15 g
  Crownfield Crunchy Muesli,168,"4,88","2,6","23,92","2,4","4,36","4,4","0,23",,
   40 g
  Yomo Miele,5,"0,17",,"0,62",,,"0,13",,,
   4 g
  Dattero,23,"0,03","0,003","6,23","0,7","5,26","0,2",0,0,54
   1 dattero
  Granarolo Latte Parzialmente Scremato,83,"2,82","1,94","8,71",,"8,71","5,54",88,,
   176 ml
 Pranzo,953,"28,51","10,88","114,96","11,07","27,49","56,26","1570,4",396,341
  Italiamo Gelato al Pistacchio di Sicilia,94,"4,25","1,2",12,0,"10,5","2,1","0,05",,
   50 g
  Lidl Skyr Formaggio Spalmabile,70,"4,5","2,85","1,8",,"1,8","5,2","0,35",,
   50 g
  Rio Mare Filetti di Tonno all'olio d'oliva (Sgocciolato),66,"2,4","0,44",0,0,0,"11,2",600,,
   40 g
  Pesca,43,"0,28","0,021","10,59","1,7","9,31","1,01",0,0,211
   111 g
  Uovo,129,"8,75","2,727","0,68",0,"0,68","11,07",123,372,118
   2 medi
  Wasa Fit,98,"0,45","0,12","17,79",6,"0,45","2,7",375,,
   30 g
  Parmigiano (in Pezzi),51,"3,36","2,133","0,42",0,"0,1","4,65",208,9,12
   13 g
  Ragù,54,"3,04","1,089","2,38","0,5","1,28","4,47",264,15,
   50 g
  La Pasta di Camerino Spaghettoni,348,"1,48","0,3","69,3","2,87","3,37","13,86",0,,
   99 g
 Cena,413,"6,68","1,221","17,63",5,"9,46","69,11",1462,480,1422
  Cetriolo (senza Buccia),24,"0,32","0,026","4,32","1,4","2,76","1,18",4,0,272
   200 g
  Pomodori,35,"0,39","0,091","7,72","2,4","5,18","1,73",10,0,467
   197 g
  Rucola ,18,"0,49","0,064","2,7","1,2","1,52","1,91",20,0,273
   74 g
  Gamberetto Cotti,336,"5,48","1,04","2,89",0,0,"64,29",1428,480,410
   233 g
 Snacks/Altro,281,"10,51","2,54","20,76","2,01","1,83","24,66","145,65",,
  Decathlon Whey Protein ,128,"1,75","1,16","4,95","0,69","1,65","22,77","145,2",,
   33 g
  Lay's Patatine Fritte,153,"8,76","1,38","15,81","1,32","0,18","1,89","0,45",,
   30 g

"martedì, agosto 24, 2021",2434,"76,58","26,764","257,72","31,53","71,73","177,5","2202,07","440,42",1158
 Colazione,527,"18,11","7,199","71,06",6,"29,87","17,98","254,29",0,163
  Dattero,23,"0,03","0,003","6,23","0,7","5,26","0,2",0,0,54
   1 dattero
  Yomo Miele,6,"0,21",,"0,77",,,"0,16",,,
   5 g
  Crownfield Crunchy Muesli,210,"6,1","3,25","29,9",3,"5,45","5,5","0,29",,
   50 g
  Esselunga Fette Biscottate Integrali,64,1,"0,2",11,"1,2","0,6",2,80,,
"   2 x 1 fetta, 16 g"
  Granarolo Latte Parzialmente Scremato,94,"3,2","2,2","9,9",,"9,9","6,3",100,,
"   1 bicchiere, 200 ml"
  Marmellate e Conserve,42,"0,01","0,002","10,33","0,2","7,28","0,06",5,0,12
   15 g
  Burro di Arachidi,88,"7,56","1,544","2,93","0,9","1,38","3,76",69,0,97
   15 g
 Pranzo,1192,"45,46","16,766","127,71","12,93","23,5","64,28","1332,78","440,42",312
  Mandorle,76,"6,68","0,512","2,61","1,6","0,63","2,81",0,0,96
   11 mandorle
  Italiamo Gelato al Pistacchio di Bronte ,61,"2,59","1,36","8,05",,"7,7","1,26","0,26",,
   35 g
  Lindt Cioccolato Fondente 85%,37,"3,22","1,96","1,33",,"0,98","0,77",,,
   14 g
  Wasa Fit,98,"0,4","0,2","17,8",6,"0,4","2,8",400,,
"   2 x 1 fetta, 30 g"
  Lidl Skyr Formaggio Spalmabile,42,"2,7","1,71","1,08",,"1,08","3,12","0,21",,
   30 g
  Rio Mare Tonno al Naturale,48,"0,28","0,09",0,0,0,"11,15","234,11","36,42",
   52 g
  Sasso Olio d'oliva ,82,"9,1","1,6",0,,0,0,0,,
   10 ml
  Mirtilli,39,"0,23","0,019",10,"1,7","6,87","0,51",1,0,53
   69 g
  Uovo,129,"8,75","2,727","0,68",0,"0,68","11,07",123,372,118
   2 medi
  Parmigiano (Grattugiato),155,"10,3","6,228","1,46",0,"0,32","13,85",550,32,45
   36 g
  La Molisana Spaghetti,425,"1,21","0,36","84,7","3,63","4,84","16,94","24,2",,
   121 g
 Cena,437,"3,14","0,95","19,25","9,2","3,78","87,16",16,0,564
  Esselunga Petto di Pollo ,353,"2,82","0,88",0,0,0,"82,25",,,
   353 g
  Fagiolini Verdi,84,"0,32","0,07","19,25","9,2","3,78","4,91",16,0,564
   270 g
 Snacks/Altro,278,"9,87","1,849","39,7","3,4","14,58","8,08",599,0,119
  Marmellate e Conserve,56,"0,01","0,002","13,77","0,2","9,7","0,07",6,0,15
   1 cucchiaio da tavolo
  Burro di Arachidi,94,"8,06","1,647","3,13",1,"1,48","4,01",73,0,104
   1 cucchiaio da tavolo
  Mulino Bianco Pan Bauletto,128,"1,8","0,2","22,8","2,2","3,4",4,520,,
"   2 x 1 fetta, 47 g"

"mercoledì, agosto 25, 2021",2449,"97,97","39,835","244,6","28,82","66,21","145,33","2756,1","707,28",2129
 Colazione,480,"12,88","4,813","69,88","5,81","29,99","19,07","0,41",0,54
  Crownfield Crunchy Muesli,301,"8,54","1,05","45,78","5,11","7,63","7,77","0,41",,
   70 g
  Dattero,23,"0,03","0,003","6,23","0,7","5,26","0,2",0,0,54
   1 dattero
  Yomo Miele,6,"0,21",,"0,77",,,"0,16",,,
   5 g
  Granarolo Latte Parzialmente Scremato,150,"4,1","3,76","17,1",0,"17,1","10,94",0,,
   342 ml
 Pranzo,1199,"63,96","28,495","90,51","11,08","10,63","61,57","1446,8","459,5",488
  Caffè (Espresso),1,"0,05","0,028",0,0,0,"0,04",4,0,34
"   1 29,6 ml"
  Lindt Cioccolato Fondente 85%,64,"5,52","3,36","2,28",,"1,68","1,32",,,
   24 g
  Santa Lucia Mozzarella,298,"22,5","15,62","2,5",0,"1,25","21,25",875,"67,5",
   125 g
  Pomodori,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 g
  Uovo,129,"8,75","2,727","0,68",0,"0,68","11,07",123,372,118
   2 medi
  Pesto,262,"24,52","6,354","2,48","0,8","0,4","8,86",343,20,99
   49 g
  La Molisana Mezze Penne Rigate Integrali,427,"2,42","0,36","78,65","9,08","3,99","18,15","96,8",,
   121 g
 Cena,701,"15,05","6,061","81,84","10,53","25,01","62,14","1308,89","247,78",1500
  Pesca,38,"0,24","0,019","9,35","1,5","8,22","0,89",0,0,186
"   1 media (6,5 cm di diametro) (circa 4 in 450 g)"
  Pomodori,54,"0,6","0,138","11,76","3,6","7,89","2,64",15,0,711
   300 g
  Pangrattato,276,"3,71","0,842","50,39","3,2","4,34","9,34",512,0,137
   70 g
  Decathlon Whey Protein ,116,"1,59","1,05","4,5","0,63","1,5","20,7",132,,
   30 g
  Parmigiano (in Pezzi),59,"3,87","2,462","0,48",0,"0,12","5,36",240,10,14
   15 g
  Zucchine,24,"0,27","0,056","5,02","1,6","2,6","1,82",15,0,393
   150 g
  Rio Mare Tonno al Naturale,69,"0,4","0,13",0,0,0,"15,85","332,89","51,78",
   74 g
  Uovo,65,"4,37","1,364","0,34",0,"0,34","5,54",62,186,59
   1 medio
 Snacks/Altro,69,"6,08","0,466","2,37","1,4","0,58","2,55",0,0,87
  Mandorle,69,"6,08","0,466","2,37","1,4","0,58","2,55",0,0,87
   10 mandorle

"giovedì, agosto 26, 2021",2376,"103,02","38,813","232,15","27,26","78,14","124,77","4232,53",416,1430
 Colazione,455,"17,11","4,45","59,26","6,12","21,51","16,6","255,48",0,158
  Dattero,23,"0,03","0,003","6,23","0,7","5,26","0,2",0,0,54
   1 dattero
