#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, April 1, 2024","Tuesday, April 30, 2024"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,2043,65.92,238.03,127.03
Breakfast,595,17.61,71.78,38.32
Lunch,754,18.48,104.15,43.6
Dinner,518,17.96,50.62,38.32
Snacks/Other,176,11.87,11.48,6.8

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Monday, April 1, 2024",2361,101.57,22.1,217.7,15.67,60.43,133.67,6469.23,0,0
 Breakfast,724,20.83,3.44,83.87,10.2,36.86,49.86,214.63,,
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Forever Proteine,113,3.6,0,7.2,1.2,2.4,15,0.6,,
   30 g
  BoscoBuono Mirtilli,10,0.04,0,1.82,0.3,1.82,0.18,0.8,,
   20 g
  Fiorentini Bio Crusca di Avena,91,1.9,0.32,12.78,3.6,0.5,3.92,1.25,,
   25 g
  Milbona Budino Proteico Nocciola,154,3,2,11.6,,9.6,20,152,,
   200 g
  Alesto Nocciole 100% Italiane,68,6.2,0.45,0.82,0.94,0.49,1.5,0,,
   10 g
  Lidl Mandorle,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
 Lunch,374,16.35,4.69,22.44,4.03,2.76,32.29,997.4,,
  Aia Aequilibrium Petto di Tacchino al Forno,63,1.22,0.43,2.14,0,0.55,10.98,536.8,,
   61 g
  Esselunga Uova,186,13.02,3.97,0.14,,,16.99,191.8,,
   137 g
  Certossa Pan Bauletto Integrale ,125,2.11,0.29,20.16,4.03,2.21,4.32,268.8,,
   48 g
 Dinner,868,44,8.8,76,,6.8,35.2,4800,,
  Freschi con Gusto Torta Ricotta e Spinaci,868,44,8.8,76,,6.8,35.2,4800,,
   400 g
 Snacks/Other,395,20.39,5.17,35.39,1.44,14.01,16.32,457.2,0,0
  Gina Peanut Butter,181,15.68,2.8,3.36,,1.96,5.88,168,,
   28 g
  Certossa Pan Bauletto Bianco,117,1.35,0.27,21.74,1.44,1.76,3.51,180,0,0
   45 g
  Parmalat  Latte Parzialmente Scremato,97,3.36,2.1,10.29,0,10.29,6.93,109.2,,
   210 ml

"Tuesday, April 2, 2024",1718,60.22,23.18,129.9,12.58,66.84,159.9,2327.86,,
 Breakfast,732,20.41,3.38,88.13,9.18,43.58,49.05,221.58,,
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
  Alesto Nocciole 100% Italiane,68,6.2,0.45,0.82,0.94,0.49,1.5,0,,
   10 g
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Forever Proteine,113,3.6,0,7.2,1.2,2.4,15,0.6,,
   30 g
  Lidl Mandorle,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Gilli Mirtilli Neri,38,0,0,9.24,,9.24,0.15,0,,
   22 g
  Fiorentini Bio Crusca di Avena,73,1.52,0.26,10.22,2.88,0.4,3.14,1,,
   20 g
  Milbona Budino Proteico Gusto Caramello,152,3,2,11,,9,20,160,,
   200 g
 Lunch,335,15.18,4.72,19.17,1.06,2.55,30.21,919,,
  Certossa Pan Carré,92,1.27,0.42,16.98,1.06,2.02,2.97,212.2,,
   35 g
  Aia Aequilibrium Petto di Tacchino al Forno,61,1.18,0.41,2.06,0,0.53,10.62,519.2,,
   59 g
  Esselunga Uova,182,12.73,3.89,0.13,,,16.62,187.6,,
   134 g
 Dinner,651,24.63,15.08,22.6,2.34,20.71,80.64,1187.28,,
  Kania Ketchup Hot,49,0.05,0.05,11.1,,9.75,0.7,1.49,,
   50 g
  Polli Peperoni Grigliati,73,0.81,0.27,11.34,0,10.8,1.89,,,
   270 g
  Cento Bontà Pecorino,290,21.84,14.04,0.16,2.34,0.16,22.62,1185.6,,
   78 g
  Lidl Straccetti di Petto di Pollo,239,1.93,0.72,0,0,0,55.43,0.19,,
   241 g
 Snacks/Other,,,,,,,,,,

"Wednesday, April 3, 2024",2150,45.58,7.635,308.68,31.29,67.66,133.15,1133.98,0,1354
 Breakfast,709,18.89,1.898,92.55,13.08,41.99,45.26,129.58,0,406
  Kiwi Fruit,79,0.68,0.038,19.06,3.9,11.69,1.48,4,0,406
   130 g
  Alesto Nocciole 100% Italiane,68,6.2,0.45,0.82,0.94,0.49,1.5,0,,
   10 g
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Forever Proteine,113,3.6,0,7.2,1.2,2.4,15,0.6,,
   30 g
  Lidl Mandorle,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Fiorentini Bio Crusca di Avena,73,1.52,0.26,10.22,2.88,0.4,3.14,1,,
   20 g
  Danone Hipro 15G Proteine Stracciatella,88,0.8,0.48,5.6,,4.96,14.88,64,,
   160 g
 Lunch,481,22.04,4.96,18.59,1.15,2.19,51.57,895.4,,
  Certossa Pan Carré,100,1.38,0.46,18.43,1.15,2.19,3.23,230.4,,
   38 g
  Esselunga Uova,211,14.72,4.5,0.16,,,19.22,217,,
   155 g
  Denner Tonno,170,5.94,,0,,,29.12,448,,
   112 g
 Dinner,960,4.65,0.777,197.54,17.06,23.48,36.32,109,0,948
  Melinda Mela,62,0.24,,16.8,2.88,12,0.36,1.2,,
   120 g
  Broccoli ,102,1.11,0.117,19.92,7.8,5.1,8.46,99,0,948
   300 g
  Conad Pasta ,796,3.3,0.66,160.82,6.38,6.38,27.5,8.8,,
   220 g
 Snacks/Other,,,,,,,,,,

"Thursday, April 4, 2024",2475,81.64,25.534,247.12,15.93,42.28,181.2,3053.64,31,591
 Breakfast,697,18.41,2.055,89.51,10.63,39.99,45.43,119.94,0,272
  Danone Hipro Cocco,93,0.64,0.64,5.76,,5.28,15.52,57.6,,
   160 g
  Banana,68,0.25,0.085,17.36,2,9.29,0.83,1,0,272
   76 g
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
  Alesto Nocciole 100% Italiane,81,7.44,0.54,0.98,1.13,0.59,1.8,0,,
   12 g
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Forever Proteine,121,3.84,0,7.68,1.28,2.56,16,0.64,,
   32 g
  Fiorentini Bio Crusca di Avena,58,1.22,0.21,8.18,2.3,0.32,2.51,0.8,,
   16 g
  Lidl Mandorle,50,4.26,0.34,0.38,0.97,0.38,1.96,0.32,,
   8 g
 Lunch,1093,36.17,11.519,122.59,5.3,1.77,66.25,1709.7,31,319
  Margherita Pizza,729,13.95,5.899,122.59,5.3,1.77,25.52,520,31,319
   265 g
  Coop Uovo,132,8.58,3.14,0,,,12.21,346.5,,
   99 g
  Carrefour Salmone al Naturale,232,13.64,2.48,0,0,0,28.52,843.2,,
   124 g
 Dinner,685,27.06,11.96,35.02,,0.52,69.52,1224,,
  Divella Piselli,216,0.9,0,31.5,,0,14.4,600,,
   300 g
  Fattorie Girau Pecorino,211,17.16,11.96,0.52,,0.52,13.52,624,,
   52 g
  Esselunga Sardine,258,9,,3,,,41.6,,,
   200 g
 Snacks/Other,,,,,,,,,,

"Friday, April 5, 2024",1121,35.16,7.89,119.24,8.2,51.53,78.82,1203.43,,44.1
 Breakfast,697,18.38,2.19,89.54,8.2,49.23,44.01,118.93,,44.1
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Forever Proteine,113,3.6,0,7.2,1.2,2.4,15,0.6,,
   30 g
  Gilli Mirtilli Neri,77,0,0,18.9,,18.9,0.32,0,,
   45 g
  Alesto Noci,71,6.91,0.68,0.37,0.68,0.3,1.55,0,,44.1
   10 g
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
  Fiorentini Bio Crusca di Avena,55,1.14,0.2,7.66,2.16,0.3,2.36,0.75,,
   15 g
  Lidl Mandorle,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
  Danone Hipro Cocco,93,0.64,0.64,5.76,,5.28,15.52,57.6,,
   160 g
 Lunch,424,16.78,5.7,29.7,0,2.3,34.81,1084.5,,
  Coop Uovo,212,13.78,5.04,0,,,19.61,556.5,,
   159 g
  Aia Aequilibrium Petto di Tacchino al Forno,62,1.2,0.42,2.1,0,0.54,10.8,528,,
   60 g
  Carrefour Pane Tostato,150,1.8,0.24,27.6,,1.76,4.4,,,
   40 g
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Saturday, April 6, 2024",1730,55.85,21.61,141.03,17.66,74.51,160.31,2217.17,,44.1
 Breakfast,704,18.62,2.04,92,8.34,51.03,43.55,125.38,,44.1
  Alesto Noci,71,6.91,0.68,0.37,0.68,0.3,1.55,0,,44.1
   10 g
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Gilli Mirtilli Neri,86,0,0,21,,21,0.35,0,,
   50 g
  Danone Hipro 15G Proteine Stracciatella,88,0.8,0.48,5.6,,4.96,14.88,64,,
   160 g
  Forever Proteine,113,3.6,0,7.2,1.2,2.4,15,0.6,,
   30 g
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
  Fiorentini Bio Crusca di Avena,58,1.22,0.21,8.18,2.3,0.32,2.51,0.8,,
   16 g
  Lidl Mandorle,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
 Lunch,395,16.04,5.79,26.38,1.52,3.43,33.72,1364.8,,
  Aia Aequilibrium Petto di Tacchino al Forno,63,1.22,0.43,2.14,0,0.55,10.98,536.8,,
   61 g
  Certossa Pan Carré,132,1.82,0.61,24.24,1.52,2.88,4.24,303,,
   50 g
  Coop Uovo,200,13,4.75,0,,,18.5,525,,
"   2 1/2 x 1 uovo, 150 g"
 Dinner,631,21.19,13.78,22.65,7.8,20.05,83.04,726.99,,
  Fattorie Girau Pecorino,223,18.15,12.65,0.55,,0.55,14.3,660,,
   55 g
  Vale Cavolfiori al Vapore ,101,0.98,0.32,8.78,7.8,7.8,10.4,65,,
   325 g
  Lidl Tagliata di Petto di Pollo con Sale Rosso Delle Hawaii,248,2,0.75,0,,0,57.5,0.2,,
   250 g
  Kania Ketchup Hot,59,0.06,0.06,13.32,,11.7,0.84,1.79,,
   60 g
 Snacks/Other,,,,,,,,,,

"Sunday, April 7, 2024",2087,63.83,19.5,258.08,14.62,60.53,118.34,2191.98,,
 Breakfast,667,14.68,1.35,92.53,8.32,51.78,42.39,125.33,,
  Coop Cioccolato Fondente Extra,52,3.05,,5.2,0.8,4.85,0.6,,,
"   1/2 x 1 quadratino, 10 g"
  Optimum Nutrition Mass Gainer,150,0.58,0.24,30.24,0.34,2.64,6,58.08,,
   40 g
  Danone Hipro 15G Proteine Stracciatella,88,0.8,0.48,5.6,,4.96,14.88,64,,
   160 g
  Gilli Mirtilli Neri,71,0,0,17.22,,17.22,0.29,0,,
   41 g
  Forever Proteine,113,3.6,0,7.2,1.2,2.4,15,0.6,,
   30 g
  Ventura Datteri al Naturale,76,0.18,0,18.93,2.61,18.93,0.81,1.5,,
   30 g
  Fiorentini Bio Crusca di Avena,55,1.14,0.2,7.66,2.16,0.3,2.36,0.75,,
   15 g
  Lidl Mandorle,62,5.33,0.43,0.48,1.21,0.48,2.45,0.4,,
   10 g
 Lunch,1420,49.15,18.15,165.55,6.3,8.75,75.95,2066.65,,
  Carrefour Focaccia Tradizionale,1032,28,4.2,164.5,6.3,7.7,27.65,6.65,,
   350 g
  Fattorie Girau Pecorino,223,18.15,12.65,0.55,,0.55,14.3,660,,
   55 g
  Dal Salumiere Bresaola della Valtellina,165,3,1.3,0.5,0,0.5,34,1400,,
   100 g
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, April 9, 2024",806,16.44,3.98,125.51,10.9,66.73,38.78,237.79,0,319.19
 Breakfast,806,16.44,3.98,125.51,10.9,66.73,38.78,237.79,0,319.19
  Gilli Mirtilli Neri,65,0,0,15.96,,15.96,0.27,0,,
   38 g
