#-------------------------------------------
# Food Diary Report - Detailed Report,"giovedì, settembre 1, 2022","venerdì, settembre 30, 2022"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
Totale,2630,"81,72","317,15","156,42"
Colazione,653,"12,35","91,03","43,68"
Pranzo,992,"33,49","122,13",49
Cena,607,"21,88","60,5","41,87"
Snacks/Altro,379,14,"43,49","21,86"

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cal ( kcal),Gras( g),Sat( g),Carb( g),Fibre( g),Zucch( g),Prot( g),Sod( mg),Coles( mg),Potassio( mg)

"giovedì, settembre 1, 2022",2778,"79,52","21,947","341,63","39,99","74,03","165,02","2078,24",29,"1259,34"
 Colazione,693,"14,18","3,445","87,77","8,04","11,38","50,15","276,26",0,"307,34"
  Decathlon Whey Protein,118,"1,65","1,08","4,5","0,63","1,5",21,180,,
   30 g
  Optimum Nutrition Serious Mass,265,"1,19","0,42","52,5","0,56","4,48","10,5","0,26",,"252,34"
   70 g
  More,15,"0,17","0,005","3,27","1,8","1,66","0,47",0,0,55
   34 g
  Lidl Avena,149,"2,8","0,52","23,48",4,"0,28","5,4",8,,
   40 g
  Fiorentini Peanut Butter Crunchy,98,"8,37","1,42","1,38","1,05","0,82","3,72",0,,
   15 g
  Fage Total 0%,48,0,0,"2,64",0,"2,64","9,06",88,,
   88 g
 Pranzo,1251,"38,35","8,661","153,23","9,5","40,79","76,95","685,58",0,844
  Antichi Maestri Grana Padano,56,"4,06","2,52",0,,0,"4,62","0,21",,
   14 g
  Aia Aequilibrium Albume d'uovo,55,0,0,"0,91",0,0,"12,54","191,52",,
   114 g
  Uva Bianca,58,"0,13","0,045","15,2","0,8",13,"0,6",2,0,
   84 g
  Banana,89,"0,33","0,112","22,84","2,6","12,23","1,09",1,0,358
   100 g
  Carrefour Tonno a Pinne Gialle all'olio d'oliva,77,"3,37","0,52",0,0,0,"12,11","0,67",,
   45 g
  Sasso Olio d'oliva,222,"24,81","3,78",0,,,0,,,
   27 g
  Certossa Triangolini con Quinoa,76,"1,66","0,22","13,86",,"0,13","1,21","0,18",,
   18 g
  Pomodori,37,"0,41","0,094","8,04","2,5","5,39","1,8",10,0,486
   205 g
  Milbona Fiocchi di Latte Light,140,"1,6",1,"6,2",,"6,2",25,480,,
   200 g
  Rummo Spaghetti Grossi N.5,441,"1,98","0,37","86,18","3,6","3,84","17,98",0,,
   124 g
 Cena,602,"13,17","7,29","81,46","19,17","14,96","30,06","1022,4",29,
  BIOdì Gallette di Farro,65,"0,37","0,07","12,75","1,7","0,14","2,04","1,7",,
   17 g
  Bonduelle Piselli e Carote,192,"1,97","0,56","24,25","16,07","12,13","11,28",705,,
   282 g
  Scamorza,133,"10,03","6,26","0,86",0,"0,29","9,74",314,29,
   40 g
  PanaPesca Surimi al Sapore di Granchio,212,"0,8","0,4","43,6","1,4","2,4",7,"1,7",,
   200 g
 Snacks/Altro,232,"13,82","2,551","19,17","3,28","6,9","7,86",94,0,108
  Pistacchi,58,"4,67","0,571","2,94","1,1","0,8","2,16",0,0,108
   15 semi
  Conad Semi di Zucca,91,"7,35","1,28","1,23","0,98","0,2","4,5",24,,
   15 g
  Aptonia Cereal Bars Chocolate,83,"1,8","0,7",15,"1,2","5,9","1,2",70,,
"   1 barretta, 21 g"

"venerdì, settembre 2, 2022",2878,"83,2","20,385","294,81","28,11","85,29",236,"1216,15",0,"2023,94"
 Colazione,693,"14,18","3,456","88,56","7,75","11,59","50,03","274,26",0,"302,94"
  Optimum Nutrition Serious Mass,268,"1,21","0,43","53,25","0,57","4,54","10,65","0,26",,"255,94"
   71 g
